216,188,2020-05-20,The results were worth all your hard work. You've got it now.
216,746,2020-05-20,This is prize-winning work. Your remark shows a lot of sensitivity.
216,761,2020-05-20,This is prize-winning work. Your remark shows a lot of sensitivity.
41,561,2020-05-20,That's right. Good for you. You're really moving.
131,217,2020-05-20,This is a moving scene. You've really been paying attention.
131,180,2020-05-20,This demonstrates your knowledge of the ____. You've made my day.
131,480,2020-05-20,This really has flair.
131,929,2020-05-20,This demonstrates your knowledge of the ____. You've made my day.
257,511,2020-05-20,"This is fun, isn't it? Your hard work has paid off."
257,103,2020-05-20,This is something special. Your work has such personality.
257,863,2020-05-20,This gets a four-star rating. You've put in a full day today.
70,77,2020-05-20,This gets a four-star rating. You've put in a full day today.
70,77,2020-05-20,The results were worth all your hard work. You've got it now.
116,392,2020-05-20,This is quite an accomplishment. Your style has spark.
90,336,2020-05-20,That's the right answer. You're right on target.
309,913,2020-05-20,This is something special. Your work has such personality.
324,561,2020-05-20,This gets a four-star rating. You've put in a full day today.
324,639,2020-05-20,"This is fun, isn't it? Your hard work has paid off."
313,262,2020-05-20,This paper has pizzazz!
313,231,2020-05-20,This kind of work pleases me very much.
313,445,2020-05-20,That's the right answer. You're right on target.
313,80,2020-05-20,This really has flair.
299,480,2020-05-20,This really has flair.
299,231,2020-05-20,That's very perceptive. You've come a long way with this one.
299,562,2020-05-20,This really has flair.
57,431,2020-05-20,"This is fun, isn't it? Your hard work has paid off."
57,556,2020-05-20,This is a moving scene. You've really been paying attention.
63,706,2020-05-20,This gets a four-star rating. You've put in a full day today.
71,313,2020-05-20,This is a winner! You've shown a lot of patience with this.
71,313,2020-05-20,That's right. Good for you. You're really moving.
71,774,2020-05-20,That's right. Good for you. You're really moving.
148,391,2020-05-20,That's very perceptive. You've come a long way with this one.
148,358,2020-05-20,This is a moving scene. You've really been paying attention.
156,262,2020-05-20,That's right. Good for you. You're really moving.
192,622,2020-05-20,This gets a four-star rating. You've put in a full day today.
192,972,2020-05-20,This is something special. Your work has such personality.
192,843,2020-05-20,This is prize-winning work. Your remark shows a lot of sensitivity.
62,606,2020-05-20,That's the right answer. You're right on target.
62,846,2020-05-20,"This is fun, isn't it? Your hard work has paid off."
62,647,2020-05-20,This gets a four-star rating. You've put in a full day today.
62,606,2020-05-20,This kind of work pleases me very much.
243,451,2020-05-20,That's right. Good for you. You're really moving.
243,633,2020-05-20,This paper has pizzazz!
243,382,2020-05-20,This really has flair.
297,432,2020-05-20,"This is fun, isn't it? Your hard work has paid off."
297,432,2020-05-20,This gets a four-star rating. You've put in a full day today.
297,522,2020-05-20,This demonstrates your knowledge of the ____. You've made my day.
104,209,2020-05-20,This really has flair.
104,441,2020-05-20,This demonstrates your knowledge of the ____. You've made my day.
104,332,2020-05-20,"This is fun, isn't it? Your hard work has paid off."
104,419,2020-05-20,"This is fun, isn't it? Your hard work has paid off."
311,445,2020-05-20,That's right. Good for you. You're really moving.
280,702,2020-05-20,This gets a four-star rating. You've put in a full day today.
280,863,2020-05-20,"This is fun, isn't it? Your hard work has paid off."
167,507,2020-05-20,This gets a four-star rating. You've put in a full day today.
167,627,2020-05-20,This paper has pizzazz!
167,313,2020-05-20,This is a moving scene. You've really been paying attention.
160,561,2020-05-20,That's right. Good for you. You're really moving.
160,474,2020-05-20,This is quite an accomplishment. Your style has spark.
160,755,2020-05-20,"This is fun, isn't it? Your hard work has paid off."
322,765,2020-05-20,The results were worth all your hard work. You've got it now.
322,765,2020-05-20,This is a winner! You've shown a lot of patience with this.
322,103,2020-05-20,This is something special. Your work has such personality.
221,339,2020-05-20,That's right. Good for you. You're really moving.
10,149,2020-05-20,This really has flair.
10,351,2020-05-20,This gets a four-star rating. You've put in a full day today.
10,291,2020-05-20,This really has flair.
10,746,2020-05-20,This kind of work pleases me very much.
169,705,2020-05-20,This demonstrates your knowledge of the ____. You've made my day.
169,962,2020-05-20,This gets a four-star rating. You've put in a full day today.
